id,name,id_esa,cycle,admission_criteria_url,form_study,generic_grade,Finalité,admission_test_duration,academic_year_id,program_url,Code habilitation,Code Etude ARES,Code grade académique,Année académique de création,Horaire,Published,send_to_hops,Dispositif pédagogique,Soumis au décret R/RN,classification_id,status,Langue
gwr.pedagogical.offer_035,Master en enseignement Section 4 : Musique - Contrebasse,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_036,Master en enseignement Section 4 : Musique - Cor,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_037,Master en enseignement Section 4 : Musique - Ecritures classiques,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_038,Master en enseignement Section 4 : Musique - Flûte traversière,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_039,Master en enseignement Section 4 : Musique - Formation Musicale,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_040,Master en enseignement Section 4 : Musique - Guitare,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_041,Master en enseignement Section 4 : Musique - Harpe,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_042,Master en enseignement Section 4 : Musique - Hautbois,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_043,Master en enseignement Section 4 : Musique - Mandoline,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_044,Master en enseignement Section 4 : Musique - Orgue,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Clavier,Actif,
gwr.pedagogical.offer_045,Master en enseignement Section 4 : Musique - Percussions,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Percussions,Actif,
gwr.pedagogical.offer_046,Master en enseignement Section 4 : Musique - Piano,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Clavier,Actif,
gwr.pedagogical.offer_047,Master en enseignement Section 4 : Musique - Saxophone,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_048,Master en enseignement Section 4 : Musique - Trombone,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_049,Master en enseignement Section 4 : Musique - Trompette,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_050,Master en enseignement Section 4 : Musique - Tuba,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_051,Master en enseignement Section 4 : Musique - Viole d’amour,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_052,Master en enseignement Section 4 : Musique - Violon,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_053,Master en enseignement Section 4 : Musique - Violoncelle,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_054,Master en enseignement Section 5 : Musique - Alto,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_055,Master en enseignement Section 5 : Musique - Art Lyrique,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_056,Master en enseignement Section 5 : Musique - Basson,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_057,Master en enseignement Section 5 : Musique - Chant,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_058,Master en enseignement Section 5 : Musique - Clarinette,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_059,Master en enseignement Section 5 : Musique - Composition,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Composition,Actif,
gwr.pedagogical.offer_060,Master en enseignement Section 5 : Musique - Contrebasse,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_061,Master en enseignement Section 5 : Musique - Cor,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_062,Master en enseignement Section 5 : Musique - Ecritures classiques,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_063,Master en enseignement Section 5 : Musique - Flûte traversière,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_064,Master en enseignement Section 5 : Musique - Formation Musicale,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Sciences humaines et sociales / Sciences de l'éducation et Enseignement,Actif,
gwr.pedagogical.offer_065,Master en enseignement Section 5 : Musique - Guitare,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_066,Master en enseignement Section 5 : Musique - Harpe,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_067,Master en enseignement Section 5 : Musique - Hautbois,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_068,Master en enseignement Section 5 : Musique - Mandoline,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_069,Master en enseignement Section 5 : Musique - Orgue,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Clavier,Actif,
gwr.pedagogical.offer_070,Master en enseignement Section 5 : Musique - Percussions,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Percussions,Actif,
gwr.pedagogical.offer_071,Master en enseignement Section 5 : Musique - Piano,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Clavier,Actif,
gwr.pedagogical.offer_072,Master en enseignement Section 5 : Musique - Piano d'accompagnement,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Clavier,Actif,
gwr.pedagogical.offer_073,Master en enseignement Section 5 : Musique - Saxophone,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_074,Master en enseignement Section 5 : Musique - Trombone,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_075,Master en enseignement Section 5 : Musique - Trompette,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_076,Master en enseignement Section 5 : Musique - Tuba,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_077,Master en enseignement Section 5 : Musique - Viole d’amour,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_078,Master en enseignement Section 5 : Musique - Violon,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_079,Master en enseignement Section 5 : Musique - Violoncelle,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_080,Master en enseignement Section 5 : Théâtre et arts de la parole - art dramatique,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Domaine du théâtre et des arts de la parole / Art dramatique  / Art Dramatique / Art dramatique,Actif,
gwr.pedagogical.offer_081,Master en musique : alto,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_082,"Master en musique : alto, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_083,"Master en musique : alto, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_084,"Master en musique : alto, à finalité spécialisée (Orchestre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_085,Master en musique : art lyrique,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_086,"Master en musique : art lyrique, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_087,Master en musique : basson,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_088,"Master en musique : basson, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_089,"Master en musique : basson, à finalité spécialisée (Deuxième instrument)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_090,"Master en musique : basson, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_091,"Master en musique : basson, à finalité spécialisée (Orchestre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_092,Master en musique : chant,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_093,"Master en musique : chant, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_094,"Master en musique : chant, à finalité spécialisée (Musique ancienne)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_095,"Master en musique : chant, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation vocale / Chant,Actif,
gwr.pedagogical.offer_096,Master en musique : clarinette,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_097,"Master en musique : clarinette, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_098,"Master en musique : clarinette, à finalité spécialisée (Deuxième instrument)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_099,"Master en musique : clarinette, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_100,"Master en musique : clarinette, à finalité spécialisée (Orchestre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_101,Master en musique : composition,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Composition,Actif,
gwr.pedagogical.offer_102,"Master en musique : composition, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Composition,Actif,
gwr.pedagogical.offer_103,"Master en musique : composition, à finalité spécialisée (Composition mixte)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Composition,Actif,
gwr.pedagogical.offer_104,"Master en musique : composition, à finalité spécialisée (Orchestration)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Composition,Actif,
gwr.pedagogical.offer_105,Master en musique : contrebasse,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_106,"Master en musique : contrebasse, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_107,"Master en musique : contrebasse, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_108,"Master en musique : contrebasse, à finalité spécialisée (Orchestre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_109,Master en musique : cor,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_110,"Master en musique : cor, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_111,"Master en musique : cor, à finalité spécialisée (Deuxième instrument)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_112,"Master en musique : cor, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_113,"Master en musique : cor, à finalité spécialisée (Orchestre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_114,Master en musique : direction chorale,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Direction d'orchestre et direction chorale ,Actif,
gwr.pedagogical.offer_115,"Master en musique : direction chorale, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Direction d'orchestre et direction chorale ,Actif,
gwr.pedagogical.offer_116,Master en musique : direction d'orchestre,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Direction d'orchestre et direction chorale ,Actif,
gwr.pedagogical.offer_117,"Master en musique : direction d'orchestre, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Direction d'orchestre et direction chorale ,Actif,
gwr.pedagogical.offer_118,Master en musique : écritures classiques,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Ecritures classiques,Actif,
gwr.pedagogical.offer_119,"Master en musique : écritures classiques, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Écritures et théorie musicale / Ecritures classiques,Actif,
gwr.pedagogical.offer_120,Master en musique : flûte traversière,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_121,"Master en musique : flûte traversière, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_122,"Master en musique : flûte traversière, à finalité spécialisée (Deuxième instrument)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_123,"Master en musique : flûte traversière, à finalité spécialisée (Musique contemporaine)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_124,"Master en musique : flûte traversière, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_125,"Master en musique : flûte traversière, à finalité spécialisée (Orchestre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Vents,Actif,
gwr.pedagogical.offer_126,Master en musique : guitare,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_127,"Master en musique : guitare, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_128,"Master en musique : guitare, à finalité spécialisée (Musique contemporaine)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_129,"Master en musique : guitare, à finalité spécialisée (Musique de chambre)",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_130,Master en musique : harpe,,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
gwr.pedagogical.offer_131,"Master en musique : harpe, à finalité spécialisée",,2e cycle,,,,,0,2025-2026,,,,,,,FALSE,FALSE,,FALSE,Art / Musique / Formation instrumentale / Cordes,Actif,
